,TNBC1,TNBC2,TNBC3,Normal1,Normal2,Normal3
ENSG00000150753,6746,15135,6481,3167,14793,9261
ENSG00000150991,34814,38164,29470,48372,30641,27133
ENSG00000153187,12678,16003,13202,21394,21721,10903
ENSG00000156482,14453,17392,67918,19899,42874,46664
ENSG00000156508,62315,44373,55470,60740,94967,244692
ENSG00000158710,61837,65922,19875,19429,15826,21484
ENSG00000160710,23886,26665,4931,10084,13909,12201
ENSG00000160789,30872,23966,9776,7460,5260,4597
ENSG00000160862,9575,648,123675,68158,1517,3546
ENSG00000161016,15078,13489,125767,43046,9337,62085
ENSG00000161970,4183,8576,15657,4040,9161,21474
ENSG00000162244,3478,5807,30319,3630,8833,13292
ENSG00000163041,7619,5450,35812,7412,15498,4946
ENSG00000163191,18533,70994,41780,13118,40330,8531
ENSG00000163359,15061,21495,11623,2545,8474,2293
ENSG00000163399,12244,22857,5890,68383,21057,12667
ENSG00000163479,10332,13271,21308,20310,12873,12711
ENSG00000164111,8165,11236,10300,690,9266,10151
ENSG00000164587,6447,5924,19183,11305,11302,40774
ENSG00000164692,78599,71842,39179,7061,21528,7316
ENSG00000164733,34307,34488,11019,7291,5633,19716
ENSG00000164924,33964,39904,44769,55915,43454,16196
ENSG00000165795,565,708,13202,14320,1169,3128
ENSG00000166426,2382,3353,39327,411,16384,1172
ENSG00000166441,13666,8590,27260,14742,11499,43265
ENSG00000166598,30765,31524,21475,28450,36189,29451
ENSG00000167460,13055,27162,19719,22306,35608,21597
ENSG00000167526,11319,9483,68033,10375,16446,58944
ENSG00000167552,13012,6962,3408,21130,7465,11576
ENSG00000167642,4596,15692,6526,9965,2795,13903
ENSG00000167658,23916,27026,39136,25205,21292,56267
ENSG00000167996,24423,81585,30598,17644,26200,39579
ENSG00000168542,69002,63636,32819,6106,27835,8188
ENSG00000169908,31169,4138,19054,5776,34641,12527
ENSG00000171345,20006,33774,70952,5090,1442,19278
ENSG00000171346,4703,9699,37533,18035,208,2871
ENSG00000171858,8966,3953,11469,5527,14400,19702
ENSG00000171863,3603,4364,17773,5027,15700,20474
ENSG00000172270,6825,8456,28501,17193,7108,7546
ENSG00000172757,15498,27839,18231,24320,12702,21454
ENSG00000172809,2853,4520,14787,6285,14704,14735
ENSG00000174444,26279,15862,36049,24528,52083,41969
ENSG00000174748,11910,9901,34133,6538,16691,19778
ENSG00000175899,7966,10724,15259,5123,135309,27822
ENSG00000177600,7253,7890,29419,16467,9841,35830
ENSG00000179218,20279,40520,35116,34887,21028,20499
ENSG00000181163,13551,9557,30011,13189,20790,28937
ENSG00000182326,9709,13637,1371,798,3665,32566
ENSG00000182492,12981,14199,25432,5444,9060,3782
ENSG00000182718,24194,42678,6846,2501,8596,11279
ENSG00000184009,76535,151833,50186,89837,62711,94944
ENSG00000185624,16646,55614,14841,38389,14071,24411
ENSG00000185896,5253,8144,4671,24000,6338,14218
ENSG00000186081,12621,49565,50,613,1123,37497
ENSG00000186847,14238,16661,284,189,1323,972
ENSG00000187498,8880,9133,24207,4082,17145,7399
ENSG00000187514,29837,22371,55150,41570,24113,39165
ENSG00000188846,9989,5870,28411,4630,11929,14557
ENSG00000196531,7882,10662,19183,17211,13592,31351
ENSG00000196924,34277,60034,9952,5145,4779,15199
ENSG00000197746,31621,36255,29072,23854,4941,25364
ENSG00000197756,6198,6449,25346,12105,20323,34403
ENSG00000197956,13656,23116,4163,2494,11464,10676
ENSG00000197958,9821,12423,19784,5431,12335,18076
ENSG00000198034,19110,18561,55467,17889,63182,56775
ENSG00000204287,22302,24274,3950,2242,5271,32449
ENSG00000204628,12168,14545,18448,14564,22017,52402
